ID,R,Metropolitan_Area,Cost_Living,Jobs,Climate,Health_Care,Recreation
26,2,"Los Angeles-Long Beach, CA",5.67,48.15,99.15,67.98,92.63
27,2,"New York, NY",0,41.92,70.53,92.06,92.35
28,2,"Mobile, AL",64.88,74.22,67.42,60.9,92.06
29,2,"Daytona Beach, FL",94.06,69.4,86.4,26.06,91.78
30,2,"Melbourne-Titusville-Palm Bay, FL",83.29,58.92,92.35,23.51,91.5
31,2,"Atlantic City-Cape May, NJ",30.03,62.03,65.43,15.29,91.21
32,1,"Duluth-Superior, MN-WI",45.33,19.83,1.41,88.1,90.93
33,2,"Seattle-Bellevue-Everett, WA",8.5,97.16,77.62,87.25,90.65
34,2,"St. Louis, MO-IL",50.71,71.38,28.61,66.57,90.36
35,2,"San Diego, CA",3.12,97.73,99.71,68.55,90.08
36,2,"Miami, FL",35.13,83.85,91.21,96.88,89.8
37,1,"Buffalo-Niagara Falls, NY",41.36,50.99,19.26,81.58,89.51
38,2,"Dallas, TX",49.3,95.18,47.59,48.15,88.95
39,2,"Washington, DC-MD-VA-WV",4.54,92.91,56.09,98.3,88.66
40,2,"Wilmington, NC",40.51,78.75,68.55,61.47,88.38
41,1,"Kalamazoo-Battle Creek, MI",56.38,60.05,14.37,47.59,87.81
42,2,"Lakeland-Winter Haven, FL",73.09,53.54,86.68,20.67,87.53
43,2,"Kansas City, MO-KS",47.03,87.81,26.91,67.7,87.25
44,2,"Fort Pierce-Port St. Lucie, FL",69.98,60.9,91.5,15.86,86.96
45,2,"Portland-Vancouver, OR-WA",10.77,98.86,67.13,65.15,86.68
46,1,"Appleton-Oshkosh-Neenah, WI",54.4,79.32,4.24,54.1,86.4
47,2,"Knoxville, TN",88.11,88.38,57.5,86.68,86.11
48,2,"Greensboro-Winston-Salem-High Point, NC",32.58,84.41,80.73,72.23,85.83
49,2,"Portland, ME",49.01,36.82,45.04,75.35,85.55
50,2,"Houston, TX",59.5,94.9,80.45,65.43,85.26
51,2,"Baltimore, MD",22.38,75.92,69.68,86.4,84.98
52,2,"Monmouth-Ocean, NJ",11.62,54.95,71.95,43.34,84.7
53,2,"Tulsa, OK",80.74,72.52,36.54,49.29,84.41
54,2,"Fort Lauderdale, FL",33.43,93.48,90.93,62.88,84.13
55,2,"Myrtle Beach, SC",42.5,76.77,62.6,10.76,83.85
56,2,"Oakland, CA",3.69,87.53,97.16,56.94,83.56
57,2,"Ann Arbor, MI",7.37,77.33,32.57,94.33,83.28
58,3,"Houma, LA",84.99,22.94,79.03,22.09,83
59,2,"Denver, CO",22.1,95.46,50.42,85.26,82.71
60,2,"Biloxi-Gulfport-Pascagoula, MS",74.79,77.9,82.71,48.72,82.43
61,2,"Indianapolis, IN",55.53,84.7,23.51,88.95,82.15
62,2,"Columbus, OH",28.62,86.4,44.75,58.35,81.86
63,2,"Nashville, TN",67.14,93.76,42.49,86.96,81.59
64,2,"Charlotte-Gastonia-Rock Hill, NC-SC",27.2,94.05,71.8,50.14,81.3
65,2,"Orange County, CA",0.85,95.75,98.3,82.15,81.01
66,1,"Burlington, VT",20.12,30.87,9.06,66.85,80.73
67,2,"Louisville, KY-IN",51,80.16,47.02,87.81,80.45
68,2,"Omaha, NE-IA",51.56,84.13,12.46,94.61,79.88
69,2,"Salinas, CA",9.07,53.82,98.01,27.76,79.6
70,1,"Providence-Fall River-Warwick, RI-MA",18.7,23.51,54.67,47.3,79.32
71,2,"Tucson, AZ",53.55,92.63,87.25,74.5,79.03
72,2,"Cincinnati, OH-KY-IN",34.85,82.71,39.37,78.75,78.75
73,1,"Utica-Rome, NY",17,24.36,15.01,35.41,78.47
74,2,"Pittsburgh, PA",38.82,62.88,48.15,94.05,78.18
75,2,"Oklahoma City, OK",82.44,72.23,34.56,63.73,77.9
76,1,"Albany-Schenectady-Troy, NY",25.22,52.97,8.78,77.33,77.62
77,2,"Akron, OH",47.31,86.11,22.66,24.07,77.33
78,2,"Boston, MA-NH",1.14,49,59.2,94.9,77.05
79,2,"Savannah, GA",57.51,48.72,81.01,52.12,76.77
80,2,"Newark, NJ",3.97,32.57,60.05,88.38,76.48
81,2,"Atlanta, GA",39.38,99.15,69.97,57.22,76.2
82,2,"Memphis, TN-AR-MS",77.06,92.35,40.79,80.73,75.92
83,2,"Pensacola, FL",80.46,74.5,85.55,56.65,75.63
84,1,"Erie, PA",56.66,20.11,24.07,54.95,75.35
85,1,"Hartford, CT",11.9,35.41,41.35,66.28,75.07
86,2,"Philadelphia, PA-NJ",10.2,78.18,56.94,85.55,74.78
87,2,"Richmond-Petersburg, VA",32.02,84.98,63.45,83.85,74.5
88,2,"Sacramento, CA",25.5,96.03,94.05,59.2,74.22
89,1,"Youngstown-Warren, OH",70.26,65.43,22.09,20.39,73.65
90,2,"Birmingham, AL",51.28,77.33,66.85,97.45,73.37
91,2,"Fort Worth-Arlington, TX",74.23,98.58,47.59,29.46,73.08
92,2,"Raleigh-Durham-Chapel Hill, NC",13.32,96.88,70.82,93.48,72.8
93,2,"Greenville-Spartanburg-Anderson, SC",58.08,85.83,74.78,55.52,72.52
94,1,"Jamestown, NY",38.25,0.84,14.44,8.49,72.23
95,1,"Scranton-Wilkes Barre-Hazelton, PA",52.13,20.96,39.94,80.45,71.95
96,1,"Benton Harbor, MI",45.61,7.08,10.76,28.04,71.67
97,1,"Peoria-Pekin, IL",71.96,55.24,18.69,39.66,71.1
98,2,"Fort Walton Beach, FL",53.26,55.52,76.48,20.96,70.82
99,2,"Reno, NV",28.33,61.75,88.1,66,70.53
100,2,"Albuquerque, NM",44.48,90.65,78.18,77.9,70.25
101,2,"Tacoma, WA",34.28,89.8,77.05,26.34,69.97
102,2,"Columbia, SC",64.03,88.95,68.27,73.65,69.4
103,2,"Toledo, OH",46.46,58.64,29.74,87.53,69.12
104,2,"Austin-San Marcos, TX",50.43,98.01,71.67,64.87,68.83
105,1,"Saginaw-Bay City-Midland, MI",66.58,37.96,17.56,46.74,68.55
106,2,"Little Rock-North Little Rock, AR",63.18,79.03,49,92.35,68.27
107,1,"Canton-Massillon, OH",58.65,56.37,22.66,34.27,67.98
108,1,"Davenport-Moline-Rock Island, IA-IL",72.81,34.84,20.11,33.42,67.7
109,1,"Des Moines, IA",50.15,68.83,8.49,39.37,67.42
110,2,"Punta Gorda, FL",61.19,58.07,90.08,23.22,67.13
111,1,"Fort Wayne, IN",83.57,56.09,13.88,50.7,66.85
112,1,"Springfield, MA",34,10.76,7.93,42.77,66.57
113,3,"Panama City, FL",65.44,44.75,84.7,12.18,66.28
114,1,"Worcester, MA-CT",15.3,14.16,42.2,69.97,66
115,2,"San Antonio, TX",91.79,96.31,65.15,68.27,65.72
116,2,"Santa Barbara-Santa Maria-Lompoc, CA",1.99,66,100,71.1,65.43
117,1,"Lansing-East Lansing, MI",45.9,61.18,11.04,26.91,65.15
118,2,"San Jose, CA",1.7,81.58,96.31,70.53,64.87
119,2,"Vallejo-Fairfield-Napa, CA",7.94,89.23,93.2,28.61,64.58
120,2,"Wilmington-Newark, DE-MD",29.18,64.02,59.77,32.86,64.02
121,1,"Glens Falls, NY",22.92,1.98,3.68,36.82,63.73
122,2,"Huntsville, AL",67.71,67.98,53.25,45.32,63.45
123,1,"Portsmouth-Rochester, NH-ME",15.59,48.44,17.28,17.28,63.17
124,1,"Madison, WI",18.14,79.6,4.81,90.93,62.88
125,1,"Sheboygan, WI",49.58,16.99,35.41,11.61,62.6
126,1,"Bridgeport, CT",13.89,9.34,60.33,67.42,62.32
127,3,"Brownsville-Harlingen-San Benito, TX",98.31,69.97,88.66,13.88,62.03
128,2,"Chattanooga, TN-GA",94.91,65.15,64.58,58.92,61.75
129,2,"Harrisburg-Lebanon-Carlisle, PA",48.73,81.3,56.37,69.4,61.47
130,2,"Tallahassee, FL",62.61,81.01,83.56,44.19,61.18
131,1,"Dutchess County, NY",4.25,30.59,43.05,48.44,60.9
132,1,"New Haven-Meriden, CT",13.6,11.61,60.33,60.05,60.62
133,1,"Bangor, ME",34.57,3.11,27.19,43.62,60.33
134,2,"Lexington, KY",59.21,82.15,44.47,98.01,60.05
135,2,"Gainesville, FL",67.99,69.68,84.41,96.31,59.77
136,3,"Shreveport-Bossier City, LA",92.07,39.94,54.39,89.8,59.49
137,2,"Santa Rosa, CA",6.52,80.45,95.18,82.43,59.2
138,1,"Lowell, MA-NH",14.45,13.31,37.96,37.39,58.35
139,2,"Baton Rouge, LA",68.28,82.43,75.07,57.5,57.79
140,1,"Binghamton, NY",28.9,14.73,24.36,22.94,57.5
141,1,"Dayton-Springfield, OH",48.45,63.73,20.96,79.6,56.94
142,2,"Provo-Orem, UT",48.16,89.51,57.79,3.68,56.65
143,1,"St. Cloud, MN",40.8,52.4,18.13,37.11,56.37
144,1,"Bergen-Passaic, NJ",2.55,26.06,44.19,89.51,56.09
145,2,"Hickory-Morganton-Lenoir, NC",60.63,56.37,70.25,34.84,55.8
146,2,"Jackson, MS",86.41,77.05,49.85,92.63,55.52
147,1,"New London-Norwich, CT-RI",8.79,18.13,38.81,14.73,55.24
148,2,"Ventura, CA",8.22,88.66,99.43,43.9,54.67
149,1,"Racine, WI",24.37,13.03,12.18,7.64,54.67
150,1,"Gary, IN",46.18,37.11,7.08,42.2,54.39
151,1,"Wichita, KS",66.86,50.14,23.79,76.48,54.1
152,3,"Macon, GA",71.11,35.69,58.07,71.67,53.82
153,2,"Augusta-Aiken, GA-SC",77.91,63.45,72.52,86.11,53.54
154,2,"Middlesex-Somerset-Hunterdon, NJ",5.1,64.58,50.14,74.78,53.25
155,2,"Fayetteville-Springdale-Rogers, AR",72.53,91.21,49.29,46.17,52.97
156,3,"Lafayette, LA",90.09,68.83,72.23,33.14,52.69
157,2,"Naples, FL",20.68,76.2,92.06,21.81,52.4
158,1,"Brockton, MA",12.19,18.98,48.72,1.69,52.12
159,1,"Reading, PA",27.48,30.02,32.29,26.62,51.84
160,3,"Corpus Christi, TX",94.62,58.92,84.13,54.39,51.27
161,1,"Lawrence, MA-NH",11.34,39.09,40.5,18.98,50.99
162,2,"Colorado Springs, CO",41.65,90.08,58.64,11.89,50.7
163,1,"Newburgh, NY-PA",6.8,46.74,49.57,18.41,50.42
164,1,"Jackson, MI",57.23,16.14,21.81,1.98,50.14
165,1,"Manchester, NH",23.23,26.91,2.54,12.74,49.85
166,1,"Kenosha, WI",41.08,27.19,30.31,3.39,49.57
167,3,"Johnson City-Kingsport-Bristol, TN-VA",97.46,49.57,64.3,75.07,49.29
168,3,"Beaumont-Port Arthur, TX",93.46,36.26,64.87,38.81,49
169,3,"Huntington-Ashland, WV-KY-OH",74.51,30.31,57.22,63.17,48.72
170,1,"Pittsfield, MA",22.67,0.56,22.37,30.31,48.44
171,3,"Lynchburg, VA",75.08,25.77,77.33,28.89,48.15
172,1,"Allentown-Bethlehem-Easton, PA",33.72,29.46,47.3,63.45,47.87
173,1,"New Bedford, MA",20.97,9.06,65.72,0,47.59
174,1,"Fargo-Moorhead, ND-MN",87.54,67.42,10.19,81.01,47.02
175,1,"South Bend, IN",85.27,61.47,6.23,56.09,46.74
176,2,"Boise City, ID",54.96,91.78,85.26,60.33,46.17
177,2,"Boulder-Longmont, CO",15.02,75.35,61.47,61.75,46.17
178,2,"San Luis Obispo-Atascadero-Paso Robles, CA",7.09,58.35,98.86,45.89,45.6
179,3,"Galveston-Texas City, TX",73.94,59.49,83,55.8,45.6
180,1,"Bloomington, IN",63.74,28.04,19.54,37.96,45.32
181,1,"Trenton, NJ",9.64,41.35,53.82,74.22,45.04
182,1,"Rockford, IL",56.1,33.99,12.74,54.67,44.75
183,1,"Grands Fork, ND-MN",71.68,21.24,11.61,53.25,44.47
184,1,"La Crosse, WI-MN",49.86,31.72,20.67,75.92,44.19
185,1,"Iowa City, IA",43.91,47.02,7.64,95.75,43.9
186,3,"Bremerton, WA",37.4,50.7,78.75,6.79,43.34
187,3,"Columbus, GA-AL",80.17,39.37,76.77,40.5,42.77
188,3,"El Paso, TX",95.47,86.68,82.15,19.83,42.49
189,1,"Bismarck, ND",83.86,35.12,13.03,82.71,41.92
190,1,"Green Bay, WI",39.95,68.55,10.48,18.13,41.92
191,3,"Springfield, MO",88.67,71.67,27.47,58.07,41.64
192,2,"Eugene-Springfield, OR",42.21,57.79,79.6,53.54,41.35
193,1,"Lincoln, NE",64.31,70.53,14.16,76.77,40.79
194,1,"Flint, MI",24.93,19.54,27.76,27.47,40.5
195,3,"Florence, AL",84.42,21.81,45.6,39.94,40.22
196,2,"Spokane, WA",66.01,73.37,67.7,80.16,39.94
197,2,"Roanoke, VA",62.33,43.34,73.37,90.08,39.66
198,3,"Hattiesburg, MS",81.87,22.94,55.24,69.12,39.37
199,2,"Asheville, NC",54.11,54.1,66.57,85.83,38.81
200,1,"Cedar Rapids, IA",52.41,34.27,5.94,41.92,38.52
201,3,"Lawrence, KS",75.36,22.66,26.06,5.38,38.24
202,1,"Janesville-Beloit, WI",53.83,29.17,9.63,16.71,37.96
203,3,"Jacksonville, NC",82.72,22.37,66.28,1.13,37.67
204,1,"Lancaster, PA",36.83,57.5,50.7,31.16,37.39
205,3,"Lafayette, IN",69.41,45.32,23.22,13.03,37.11
206,1,"Columbia, MO",68.56,73.08,25.77,97.73,36.54
207,3,"Brazoria, TX",88.39,47.59,81.3,3.96,35.97
208,1,"State College, PA",30.6,52.4,33.99,3.11,35.97
209,1,"Johnstown, PA",56.95,21.52,20.39,52.69,35.69
210,1,"Eau Claire, WI",44.2,66.57,3.39,90.36,35.41
211,2,"Charlottesville, VA",20.4,40.5,71.38,79.88,35.12
212,1,"Stamford-Norwalk, CT",1.42,5.94,35.97,76.2,34.56
213,1,"Sioux Falls, SD",93.77,70.82,5.09,93.76,34.27
214,3,"Tuscaloosa, AL",77.63,38.81,62.88,22.66,33.99
215,3,"Parkersburg-Marietta, WV-OH",81.31,13.88,55.8,16.99,33.71
216,3,"Montgomery, AL",60.34,44.19,73.08,59.49,33.42
217,1,"Nashua, NH",13.04,15.29,1.69,8.78,32.86
218,2,"Stockton-Lodi, CA",23.8,64.87,95.46,16.14,32.29
219,3,"Athens, GA",62.4,47.3,69.12,31.44,32.01
220,1,"Champaign-Urbana, IL",66.29,35.97,28.04,71.67,31.72
221,1,"Fitchburg-Leominster, MA",14.17,2.83,41.07,35.97,31.44
222,3,"Fort Smith, AR-OK",81.59,64.3,43.34,53.82,31.16
223,2,"Bakersfield, CA",24.65,85.55,96.88,19.54,30.87
224,3,"Amarillo, TX",96.89,28.32,39.66,64.58,30.59
225,1,"Springfield, IL",79.33,24.64,11.89,84.41,30.31
226,1,"Hamilton-Middletown, OH",39.1,68.27,29.46,5.66,30.02
227,3,"Sharon, PA",55.25,22.09,32.01,14.44,29.74
228,1,"Bloomington-Normal, IL",57.8,40.79,21.52,13.59,29.46
229,3,"Bryan-College Station, TX",91.51,50.42,73.65,41.64,28.89
230,3,"Waco, TX ",98.02,42.77,43.62,32.29,28.61
231,3,"Richland-Kennewick-Pasco, WA",72.24,55.8,89.51,10.19,28.32
232,1,"Waterloo-Cedar Falls, IA",89.52,11.89,6.51,65.72,28.04
233,3,"Tyler, TX",95.76,42.49,51.84,67.13,27.76
234,2,"Fresno, CA",40.23,87.25,93.76,30.02,27.47
235,3,"Evansville-Henderson, IN-KY",85.56,27.47,39.09,81.86,27.19
236,3,"Muncie, AL",62.89,18.41,37.39,35.69,26.91
237,3,"Sherman-Denison, TX",97.17,15.86,46.45,36.26,26.62
238,2,"Santa Cruz-Watsonville, CA",3.4,52.12,96.6,37.67,26.34
239,2,"Fort Collins-Loveland, CO",32.3,79.88,46.74,47.02,26.06
240,2,"Olympia, WA",36.27,73.93,77.9,31.72,25.77
241,1,"Wausau, WI",52.98,40.22,5.66,29.17,25.49
242,3,"Lima, OH",78.48,7.93,19.83,21.24,25.21
243,3,"Lubbock, TX",88.96,38.52,45.32,91.21,24.92
244,3,"Terre Haute, IN",76.21,6.79,33.71,47.87,24.64
245,1,"Sioux City, IA-NE",55.81,51.55,11.33,41.07,24.36
246,3,"Wichita Falls, TX",98.87,25.21,38.24,52.4,24.07
247,2,"Bellingham, WA",27.77,71.95,79.32,32.57,23.51
248,3,"Las Cruces, NM",69.13,45.04,58.92,0.56,23.22
249,3,"McAllen-Edinburg-Mission, TX",98.59,88.1,78.47,12.46,22.94
250,3,"Alexandria, LA",92.36,19.26,66,62.03,22.66
251,3,"Hagerstown, MD",76.78,17.56,41.64,7.08,22.37
252,3,"Topeka, KS",92.64,15.01,28.32,49.85,22.09
253,1,"York, PA",31.17,45.89,36.82,5.66,21.81
254,3,"Longview-Marshall, TX",96.04,56.94,53.54,13.31,21.52
255,3,"Flagstaff, AZ-UT",29.75,63.17,74.5,25.49,21.24
256,3,"Killeen-Temple, TX",96.61,44.47,52.4,44.75,20.96
257,3,"Ocala, FL",97.74,43.62,83.85,4.81,20.67
258,3,"Greeley, CO",58.36,36.26,33.14,9.06,20.39
259,1,"Lewiston-Auburn, ME",26.63,8.49,33.42,36.54,20.11
260,3,"Rapid City, SD",86.69,29.74,26.62,51.27,19.83
261,1,"Dubuque, IA",63.46,8.78,3.11,24.92,19.54
262,3,"Charleston, WV",64.59,33.14,51.27,83.28,19.26
263,3,"Dover, DE",32.87,27.76,59.49,0.84,18.98
264,1,"Kankakee, IL",45.05,33.42,18.98,11.33,18.69
265,3,"Owensboro, KY",79.04,15.58,41.92,21.52,18.41
266,3,"Yakima, WA",73.38,37.67,86.96,25.77,18.13
267,3,"Monroe, LA",87.26,45.6,43.9,64.3,17.84
268,1,"Wheeling, WV-OH",67.43,13.59,21.24,79.03,17.56
269,3,"Fayetteville, NC",78.19,60.62,64.02,17.84,17.28
270,3,"Billings, MT",70.83,28.89,28.89,56.37,16.71
271,3,"Lake Charles, LA",84.14,34.56,68.83,46.45,16.43
272,1,"Jersey City, NJ",5.39,16.43,76.2,38.24,16.14
273,3,"Redding, CA",46.75,49.29,92.63,43.05,15.86
274,1,"Mansfield, OH",59.78,38.24,9.91,15.01,15.58
275,1,"Danbury, CT",2.84,3.96,37.67,41.35,15.29
276,2,"Santa Fe, NM",9.92,75.63,84.98,49.57,15.01
277,3,"Greenville, NC",58.93,70.25,58.35,73.08,14.44
278,3,"San Angelo, TX",92.92,10.48,52.69,19.26,14.16
279,3,"Anniston, AL",93.21,7.64,62.32,29.74,13.88
280,3,"Salem, OR",35.98,73.65,80.16,9.91,13.59
281,3,"Steubenville-Weirton, OH-WV",68.84,0,26.34,7.93,13.31
282,3,"Medford-Ashland, OR",42.78,62.6,89.23,40.22,13.03
283,3,"Clarksville-Hopkinsville, TN-KY",100,57.22,31.16,2.54,12.74
284,3,"Kokomo, IN",77.34,3.11,15.58,18.41,12.46
285,3,"Odessa-Midland, TX",95.19,18.69,54.1,7.36,12.18
286,3,"Chico-Paradise, CA",36.55,51.27,94.61,45.6,11.89
287,1,"Elmira, NY",31.45,1.41,29.17,25.21,11.61
288,3,"Pueblo, CO",75.93,26.62,38.52,58.64,11.33
289,3,"Casper, WY",90.66,12.74,8.21,35.12,11.04
290,3,"Vineland-Millville-Bridgeton, NJ",18.99,8.21,61.75,10.48,10.76
291,3,"Grand Junction, CO",41.93,32.29,74.22,77.62,10.48
292,3,"Joplin, MO",87.82,60.33,31.44,11.04,10.19
293,1,"Rochester, MN",35.7,23.51,0,89.23,9.91
294,3,"Great Falls, MT",76.49,2.54,16.71,30.59,9.34
295,3,"Merced, CA",31.73,31.16,94.9,8.21,9.06
296,3,"Modesto, CA",29.47,43.9,95.75,30.87,8.78
297,3,"Yuma, AZ",43.35,54.67,88.95,0.28,8.49
298,3,"Gasden, AL",91.22,3.11,60.9,24.64,8.21
299,3,"Decatur, IL",69.69,0.28,13.31,28.04,7.93
300,3,"Sumter, SC",79.61,20.67,73.93,1.41,7.64
301,1,"Waterbury, CT",19.27,5.09,37.11,50.99,7.36
302,3,"St. Joseph, MO",82.16,1.69,13.59,9.34,7.08
303,3,"Albany, GA",86.12,32.01,75.63,20.11,6.79
304,2,"Yolo, CA",10.49,71.1,93.48,42.49,6.51
305,3,"Anchorage, AK",15.87,76.48,71.1,5.09,6.23
306,3,"Cheyenne, WY",85.84,11.33,40.22,22.37,5.94
307,3,"Yuba City, CA",33.15,37.39,90.36,6.23,5.38
308,3,"Pine Bluff, AR",81.02,7.36,52.97,39.09,5.09
309,3,"Visalia-Tulare-Porterville, CA",37.12,41.07,96.03,6.51,4.81
310,3,"Jackson, TN",99.16,49.85,35.12,79.32,4.53
311,3,"Lawton, OK",89.24,17.56,34.84,16.43,4.24
312,3,"Texarkana, TX-Texarkana, AR",94.34,16.71,63.73,51.84,3.96
313,3,"Elkhart-Goshen, IN",84.71,43.05,2.83,4.24,3.68
314,3,"Victoria, TX",99.44,20.39,67.98,72.52,3.39
315,3,"Abilene, TX",96.32,17.28,55.52,45.04,2.83
316,3,"Cumberland, MD-WV",60.06,5.38,24.64,38.52,2.54
317,3,"Dothan, AL",89.81,32.86,85.83,55.24,2.26
318,3,"Florence, SC",78.76,47.87,81.58,70.82,1.98
319,3,"Enid, OK",90.37,2.26,30.87,33.71,1.69
320,3,"Williamsport, PA",61.48,1.13,42.77,50.42,1.41
321,3,"Danville, VA",83.01,4.24,56.65,4.53,1.13
322,3,"Goldsboro, NC",75.64,11.04,61.18,2.83,0.84
323,3,"Laredo, TX",99.72,72.8,91.78,2.26,0.56
324,3,"Rocky Mount, NC",65.73,24.07,63.17,9.63,0.28
325,3,"Altoona, PA",61.76,12.18,54.95,64.02,0
