Review,cleaned_review,sentiment
"I am usually reluctant to write reviews because consumer facing business is difficult. But Southwest Airlines is a miserable experience top to bottom, especially with all forms of phone support. Customer care treated me with extreme rudeness and then outright hostility when I was unable to change my password that appeared in a data breach of their services. Ultimately, after being yelled at I was hung up on. I called back and not one but two customer care reps were unable to find a record of the call or the email I was sent from their system. The website is a relic with subpar performance and security. No one seems to care. I can only assume this level of mediocrity extends to all services including the safety of air travel. Years ago, SW was a great company, but they are stuck in the past and it's reflected across the board. I can't say I'll never travel SW especially for short hops, but they will be the absolute last resort.",usually reluctant write reviews consumer facing business difficult southwest airlines miserable experience top bottom especially forms phone support customer care treated extreme rudeness outright hostility unable change password appeared data breach services ultimately yelled hung called back one two customer care reps unable find record call email sent system website relic subpar performance security one seems care assume level mediocrity extends services including safety air travel years ago sw great company stuck past reflected across board cant say ill never travel sw especially short hops absolute last resort,negative
"First off I have over 100 thousand miles in the air with Delta in South African air so I should have book my flight with Delta but we went through a travel agent instead of doing it myself first mistake second mistake is accepting Southwest. The people are amazing No complaints there, but the company bought brand new planes and put an extra seat in them so now no room for a cart to go between the Aisle. The bathroom is so small that a big man like myself 6 foot tall 300 pounds barely fits in the bathroom and let me not even get on the seats I have marks on my back with the seatbelt rubbed my back from Vegas to Orlando airport. I never moved  I was afraid I wouldn’t get back in the chair. So my wife was in the middle of two 300 lbs men so at 117 lbs she did not enjoy her flight . I understand business trying to get the most people in a plane for the fuel cost but it $250 per person one way you would think they would think about the customer not their selves. Don’t worry I’ll never fly Southwest  again and I tell people Look at the reviews before you booking",first thousand miles air delta south african air book flight delta went travel agent instead first mistake second mistake accepting southwest people amazing complaints company bought brand new planes put extra seat room cart go aisle bathroom small big man like foot tall pounds barely fits bathroom let even get seats marks back seatbelt rubbed back vegas orlando airport never moved afraid wouldnt get back chair wife middle two lbs men lbs enjoy flight understand business trying get people plane fuel cost per person one way would think would think customer selves dont worry ill never fly southwest tell people look reviews booking,negative
"It is ridiculous that Southwest allows a family of four to earn points together when they fly, but then they can’t book together when using the points and requires each family member including kids to book their own flight separately.  Seems like Southwest really needs to improve their policies and let a family with kids combine their points to book together on one account! Seems silly to make four family members all login separately to try to get flights. The points are becoming worthless.  Then, the kids each have separate flights not connected to the parents app and it becomes a problem. Hopefully Southwest sees this and fixes the issue to become more family, friendly!",ridiculous southwest allows family four earn points together fly cant book together using points requires family member including kids book flight separately seems like southwest really needs improve policies let family kids combine points book together one account seems silly make four family members login separately try get flights points becoming worthless kids separate flights connected parents app becomes problem hopefully southwest sees fixes issue become family friendly,positive
"Last Friday, a friend and I sought to change our return flight to Baltimore the following Monday, due to an anticipated snow storm. We were still in Baltimore when we tried to make the change, so we asked a staff member for help.  That staff member turned out to be a woman named Imani (#131603) and she was absolutely fantastic: understanding, efficient, kind, and effective.  The outcome was also perfect: We made it back without a hassle, safe and dry, and we didn't experience any of the weather delays that the storm caused the next day.  We are so grateful to Imani.  She was great!",last friday friend sought change return flight baltimore following monday due anticipated snow storm still baltimore tried make change asked staff member help staff member turned woman named imani absolutely fantastic understanding efficient kind effective outcome also perfect made back without hassle safe dry didnt experience weather delays storm caused next day grateful imani great,positive
"My granddaughter is autistic and my daughter had a trip to Disney planned.  She wants to cancel her trip because my granddaughter's behavior flipped to agressive.  To save the the plane from being turned around or save the embarrassment of being kicked off the plane, she wants to cancel the trip.  Southwest will not refund her the money.She has saved for awhile for this trip.I think this is terrible.   Southwest is a bunch of greedy a** holes.",granddaughter autistic daughter trip disney planned wants cancel trip granddaughters behavior flipped agressive save plane turned around save embarrassment kicked plane wants cancel trip southwest refund moneyshe saved awhile tripi think terrible southwest bunch greedy holes,negative
It is the worst airline I have ever experienced. The flight attendants are bad and rule the plane. We were not seated when we booked tickets for three together. they paid no attention to customer service. I have traveled across the world and this airline has just appointed me so badly. I would never again book Southwest Airlines even at the lowest price.This airline is worth a penny.,worst airline ever experienced flight attendants bad rule plane seated booked tickets three together paid attention customer service traveled across world airline appointed badly would never book southwest airlines even lowest pricethis airline worth penny,negative
"I arrived in St. Louis from San Francisco ON 12/16/24. Upon arrival notified that final flight going to DFW was delayed. Then informed again flight was delayed as plane needed a part to continue. Young lady at ticket counter could barely speak as she had a face mask on and did not know how to use microphone. After an hour and asking questions, informed gate was switched from E16 to E36. Another ticket agent at this counter was very rude and disrespectful to elderly people in wheelchairs asking questions. What is the purpose of customer service if a ticket agent hates doing their job and takes their negative energy to others? Has this company forgotten what brought them customers? This was flight 1268 from St. Louis to Dallas. I WOULD NOT RECOMMEND FLYING SOUTHWEST OUT OF SAINT LOUIS!! AVOID AT ALL COSTS FOR MENTAL HEALTH REASONS.",arrived st louis san francisco upon arrival notified final flight going dfw delayed informed flight delayed plane needed part continue young lady ticket counter could barely speak face mask know use microphone hour asking questions informed gate switched e e another ticket agent counter rude disrespectful elderly people wheelchairs asking questions purpose customer service ticket agent hates job takes negative energy others company forgotten brought customers flight st louis dallas would recommend flying southwest saint louis avoid costs mental health reasons,negative
Flight #3834 on Sunday (Dec 15th).  The flight is over 1 hour and a half delayed and we are all boarded the flight and frustrated that we are still not moving.  Flight attendants are laughing and having fun and showing zero empathy for the passengers who have been delayed over 1 hour and half.  We are all just sitting in our seats waiting to depart and the flight attendants are joking around and laughing while we are all waiting to depart.  Poor example of not reading the crowd by the Flight Attendants.  Show some empathy.,flight sunday dec th flight hour half delayed boarded flight frustrated still moving flight attendants laughing fun showing zero empathy passengers delayed hour half sitting seats waiting depart flight attendants joking around laughing waiting depart poor example reading crowd flight attendants show empathy,negative
They want to gouge customers when changing flight times. Its just insane how they treat you and want to squeeze every last dime out of you. Another airline on its way out.,want gouge customers changing flight times insane treat want squeeze every last dime another airline way,negative
"I recently experienced what I consider to be terrible customer service from every level of customer service from checkin to boarding of the aircraft. I was flying from Las Vegas to Boise and it was a Saturday early evening. I tried to checkin at the counter downstairs where the lady waved me over and then said, Go check in at the self checkin. I had questions, but she wouldn't help, she said, you dont have bags so go checkin at self checkout.  I was taken back by her rudeness, and there was nobody ahead of me or behind me. Then, I get upstairs and am trying to get through to my gate, and the information on my boarding pass didnt match my gate information. The individuals at gates C11 C12 & C14 would not help, to busy talking amongst themselves to help. Once again, terrible customer service. Then prior to boarding, the Southwest Airline attendant allowed families with dogs to go first, not disabled, veterans or people needing extra time. This is crazy! I had pre boarding but, I could barely get to the counter because his lack of controlling people around his desk area. When trying to scan my boarding pass, it was not working, so the attendant grabbed my phone and slammed it on the scanner. I am not impressed by the rudeness, the lack of customer service and disrespect to myself and my property. If you hate the job, find a new one, because the service and unhelpful attitudes does nothing for your sinking airline!",recently experienced consider terrible customer service every level customer service checkin boarding aircraft flying las vegas boise saturday early evening tried checkin counter downstairs lady waved said go check self checkin questions wouldnt help said dont bags go checkin self checkout taken back rudeness nobody ahead behind get upstairs trying get gate information boarding pass didnt match gate information individuals gates c c c would help busy talking amongst help terrible customer service prior boarding southwest airline attendant allowed families dogs go first disabled veterans people needing extra time crazy pre boarding could barely get counter lack controlling people around desk area trying scan boarding pass working attendant grabbed phone slammed scanner impressed rudeness lack customer service disrespect property hate job find new one service unhelpful attitudes nothing sinking airline,negative
"When attempting to update my trip (Wanna Get Away Plus) from Sunday flight to a Saturday flight, I was able to select 2 seats for $523 using the app. However, the app does not allow you to update a reservation when you have a lap child (a very ridiculous restriction).I immediately called southwest, and they informed me the tickets were now $840. I expressed how I could see the tickets on the app (even after refreshing) and after 20 mins, was able to get the agent to split my reservation so my wife's ticket was $523 and my ticket was $840. They were unable to honor the price I should have received if the app had just worked. Further, the agent was not able to come up with this solution - I had to suggest it in order to reduce my additional cost from $700 and something to $380.Overall, I am very disappointed in southwest and hope they can resolve this issue.",attempting update trip wanna get away plus sunday flight saturday flight able select seats using app however app allow update reservation lap child ridiculous restrictioni immediately called southwest informed tickets expressed could see tickets app even refreshing mins able get agent split reservation wifes ticket ticket unable honor price received app worked agent able come solution suggest order reduce additional cost something overall disappointed southwest hope resolve issue,positive
"I would've not even rated the service a 1 star. We are disappointed as a company to learn that we are not able to transfer flight credit for other employers when traveling due to travel change. We will not receive a refund, and the flight credit is useless. We have spent so much money using Southwest Airlines and now our company will never use this travel airline ever.Company out there that uses Southwest for travel I warn you now not to book. If you have any last-minute emergency or changes to your employee travel, you're wasting money!!",wouldve even rated service star disappointed company learn able transfer flight credit employers traveling due travel change receive refund flight credit useless spent much money using southwest airlines company never use travel airline evercompany uses southwest travel warn book lastminute emergency changes employee travel youre wasting money,negative
"Southwest Airlines flight on 11/21 at 5:45 AM from Tulsa to St. Louis.Pilots were late for first flight of the day, delaying departure.Crew announced there would be no beverage service due to turbulence.One of the smoothest flights one could have taken.Very unexpected and dissappointing from an airline that had been known for wowing customers with great service,",southwest airlines flight tulsa st louispilots late first flight day delaying departurecrew announced would beverage service due turbulenceone smoothest flights one could takenvery unexpected dissappointing airline known wowing customers great service,positive
Watch the early-bird check-in as it says guaranteed A1-A15 boarding we ended up with A60 and B1. Might as well have taken our chances and saved some money.,watch earlybird checkin says guaranteed aa boarding ended b might well taken chances saved money,neutral
"This airline is amazing! It had complimentary drinks and water! The seats were comfy, and the leg room was spectacular. 10/10, would recommend!",airline amazing complimentary drinks water seats comfy leg room spectacular would recommend,positive
"I want to give a big thank you to Onnie, the flight attendant on Southwest Flight #2913 from Chicago Midway to Cincinnati on October 28, 2024. His patience and kindness, especially with a mother and her young child, truly stood out. He went out of his way to make their flight smoother and more comfortable. The Non-GMO snacks were a nice touch too! It was a wonderful experience, and we’ll definitely be flying Southwest again.",want give big thank onnie flight attendant southwest flight chicago midway cincinnati october patience kindness especially mother young child truly stood went way make flight smoother comfortable nongmo snacks nice touch wonderful experience well definitely flying southwest,positive
"One of the best airlines for me at least, never had a problem with the airline, always had the best experience with southwest.",one best airlines least never problem airline always best experience southwest,positive
"I love your direct comment to Boeing this week; The CEOs of Southwest Airlines and American Airlines both want Boeing to deliver planes on time.Too bad our flight from Costa Rica wasn't on time and we had to stay overnight in Houston with a little over $500.00 in expenses that was denied by your company since it wasn't your fault!! Nothing compared to the $6.1 billion dollars Boeing is losing but to hard-working people it goes a long way. American Airlines, Delta, JSX....any one except Southwest will get our money for flights next time.",love direct comment boeing week ceos southwest airlines american airlines want boeing deliver planes timetoo bad flight costa rica wasnt time stay overnight houston little expenses denied company since wasnt fault nothing compared billion dollars boeing losing hardworking people goes long way american airlines delta jsxany one except southwest get money flights next time,negative
"On 9/30/24 I was buying a ticket for my mom to come with me on a trip. After I purchased the ticket, I realized I had inadvertantly gotten a duplicate ticket for myself. My mistake, I really don't know how I missed putting in her details. I cancelled that ticket and was immediately going to buy her ticket , so I just did a flight credit. I put in her information and everything was going well until I tried to pay. I could not use the flight credit to pay for her ticket because the flight credit was in my name!! I saw that the credit was transferable, so we made her an account, transferred the credit and bought her ticket. On Oct 2nd we cancelled the ticket. As it was past the 24 hours for free cancelation and a refund she got a flight credit to transfer back to me since I paid for the ticket. She was unable to do this because you can only transfer one time. As a new user with Southwest I was unaware that when you get a flight credit you can only use it for a flight in your name. I thought that I would have a credit to use however I needed as it is my money. Then when we cancelled the flight and she was issued a credit I fully expected that I could have it transferred back to me. I'm sure that there are others who hadn't read the one time rule either. So, I find that Southwest doesn't care if they cheat you out of your own money!! First by issuing you flight credit that you can't use as you wish. It's my money, I should be able to purchase a ticket for anyone I want. Second by only allowing a one time credit transfer. I realize that it was my mistake in the first place not putting the ticket in her name, but it was a mistake. Southwest had the opportunity to rectify this when I called and when I filed a complaint. I didn't ask for a refund, I simply wanted the flight credit back in my name. So for an honest mistake, I have lost over $711. Had I purchased the first ticket in her name, when she cancelled and got a flight credit, she would've been able to transfer it to me no issues, as that would've been the one and only transfer. For those who would say have my mom give me $711 and she has a flight credit to use. She cannot afford that, which is why I was buying her ticket in the first place. It would hurt Southwest in no way, shape or form to simply return the flight credit back to me. They still get the $711 revenue. The paper trail is there. They can clearly see the mistake of the duplicate ticket and they obviously know how their 'rules' twist this mistake all around to cheat me out of $711. I will never fly Southwest again!! Buyer beware!!",buying ticket mom come trip purchased ticket realized inadvertantly gotten duplicate ticket mistake really dont know missed putting details cancelled ticket immediately going buy ticket flight credit put information everything going well tried pay could use flight credit pay ticket flight credit name saw credit transferable made account transferred credit bought ticket oct nd cancelled ticket past hours free cancelation refund got flight credit transfer back since paid ticket unable transfer one time new user southwest unaware get flight credit use flight name thought would credit use however needed money cancelled flight issued credit fully expected could transferred back im sure others hadnt read one time rule either find southwest doesnt care cheat money first issuing flight credit cant use wish money able purchase ticket anyone want second allowing one time credit transfer realize mistake first place putting ticket name mistake southwest opportunity rectify called filed complaint didnt ask refund simply wanted flight credit back name honest mistake lost purchased first ticket name cancelled got flight credit wouldve able transfer issues wouldve one transfer would say mom give flight credit use cannot afford buying ticket first place would hurt southwest way shape form simply return flight credit back still get revenue paper trail clearly see mistake duplicate ticket obviously know rules twist mistake around cheat never fly southwest buyer beware,positive
"We made sure that we are on the correct gate according to the screens. Turns out that the screens were incorrect and the speakers didn’t work. A Southwest Airlines lady claimed that she told the group waiting here to switch gates. We were sitting there the whole time (for 1,5 h) and the information didn’t reach us. They weren’t also calling our names before closing the gate.Getting a refund was also tricky because they claimed it was our fault. Luckily I took a picture of the incorrect screen during departure time.I got vouchers and was forced to use southwest airlines once more. The vouchers didn’t cover the tax, so I had to pay 50$ none the less. I selected business class and oh boy it didn’t made a huge difference.. I had access to slow internet during he flight and I got a free drink voucher. I asked for a hot chocolate but it turns out that the drink had to be alcoholic (stupid, what if I’m pregnant?). So I ordered a beer and wanted to take it home. Before I was leaving a stewardess took the unopened can from me.. saying she has to, sooorry. The kid next to me was allowed to take the snacks home.I will never fly with Southwest Airlines again. Worst experience ever.PS: they also damaged my suitcase.",made sure correct gate according screens turns screens incorrect speakers didnt work southwest airlines lady claimed told group waiting switch gates sitting whole time h information didnt reach us werent also calling names closing gategetting refund also tricky claimed fault luckily took picture incorrect screen departure timei got vouchers forced use southwest airlines vouchers didnt cover tax pay none less selected business class oh boy didnt made huge difference access slow internet flight got free drink voucher asked hot chocolate turns drink alcoholic stupid im pregnant ordered beer wanted take home leaving stewardess took unopened saying sooorry kid next allowed take snacks homei never fly southwest airlines worst experience everps also damaged suitcase,negative
Customer service and Airline employees were the best! Very organized boarding procedures. And they don't nickel and dime you to death like some we can mention. Stress and hassle-free flying.,customer service airline employees best organized boarding procedures dont nickel dime death like mention stress hasslefree flying,positive
Usually great service and staff that enjoy their jobs. Great value!,usually great service staff enjoy jobs great value,positive
never was bad to me,never bad,positive
"Southwest airlines are awful and I never want to book with them again.  I booked tickets 3 months ago, missed my flight and they cancelled my flight back with no refund.  My flight hasn't even happened yet.  I told them I want to book the flight out again and they want me to pay for my flight I've already bought and then maybe I could get a refund!!!  The flight hasn't even happened yet!",southwest airlines awful never want book booked tickets months ago missed flight cancelled flight back refund flight hasnt even happened yet told want book flight want pay flight ive already bought maybe could get refund flight hasnt even happened yet,negative
2 flights with SW on Sept 18th and Sept 22nd respectively. Both flights were delyed by more than 2 hours due to mechanical problems. The last delay made us miss our flight to Copenhagen. No support or assistance from SW.,flights sw sept th sept nd respectively flights delyed hours due mechanical problems last delay made us miss flight copenhagen support assistance sw,negative
"I got a vouchers for lost baggage and tried to apply it to a new ticket. Southwest online system confirmed the validity of the voucher, but failed to apply it to new ticket. Many calls to customer service, still cannot use that voucher. Avoid Southwest by all means",got vouchers lost baggage tried apply new ticket southwest online system confirmed validity voucher failed apply new ticket many calls customer service still cannot use voucher avoid southwest means,positive
"We were delayed four hours (and it may be more) due to a bird strike and I had to scramble to make arrangements for my son, which was almost not possible and extremely stressful. There have been five gate changes for other flights near our gates, so there is clearly a huge amount of disorganization. The bathroom was disgusting and had feces on the rim of the toilet.I understand that things happen, like bird strikes. However, there should be a plan in place for these events to mitigate delays for these occurrences. I will most likely not ever fly southwest again. There are massive issues that need to be addressed and it is very unfortunate that your lack of planning and extreme disorganization has caused significant and unnecessary stress for my family.",delayed four hours may due bird strike scramble make arrangements son almost possible extremely stressful five gate changes flights near gates clearly huge amount disorganization bathroom disgusting feces rim toileti understand things happen like bird strikes however plan place events mitigate delays occurrences likely ever fly southwest massive issues need addressed unfortunate lack planning extreme disorganization caused significant unnecessary stress family,negative
